freq,SMA_S,SMA_L,Signal_Mw,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
15.0,10.0,30.0,5.0,19274.0,0.004,0.247,-0.247,-0.243,171076.0
15.0,10.0,30.0,10.0,14356.0,0.001,0.247,-0.247,-0.246,171076.0
15.0,10.0,30.0,15.0,12284.0,0.003,0.247,-0.247,-0.244,171076.0
15.0,10.0,30.0,20.0,11170.0,0.004,0.247,-0.247,-0.243,171076.0
15.0,10.0,30.0,25.0,10352.0,0.005,0.247,-0.247,-0.242,171076.0
15.0,10.0,30.0,30.0,9800.0,0.003,0.247,-0.247,-0.244,171076.0
15.0,10.0,30.0,35.0,9368.0,0.007,0.247,-0.247,-0.24,171076.0
15.0,10.0,40.0,5.0,18500.0,0.002,0.247,-0.247,-0.245,171076.0
15.0,10.0,40.0,10.0,13720.0,0.002,0.247,-0.247,-0.245,171076.0
15.0,10.0,40.0,15.0,11530.0,0.005,0.247,-0.247,-0.242,171076.0
15.0,10.0,40.0,20.0,10358.0,0.004,0.247,-0.247,-0.243,171076.0
15.0,10.0,40.0,25.0,9566.0,0.007,0.247,-0.247,-0.24,171076.0
15.0,10.0,40.0,30.0,8952.0,0.011,0.247,-0.247,-0.236,171076.0
15.0,10.0,40.0,35.0,8572.0,0.008,0.247,-0.247,-0.239,171076.0
15.0,10.0,50.0,5.0,18154.0,0.001,0.247,-0.247,-0.246,171076.0
15.0,10.0,50.0,10.0,13292.0,0.003,0.247,-0.247,-0.244,171076.0
15.0,10.0,50.0,15.0,11124.0,0.004,0.247,-0.247,-0.243,171076.0
15.0,10.0,50.0,20.0,9924.0,0.003,0.247,-0.247,-0.244,171076.0
15.0,10.0,50.0,25.0,9100.0,0.007,0.247,-0.247,-0.24,171076.0
15.0,10.0,50.0,30.0,8490.0,0.009,0.247,-0.247,-0.238,171076.0
15.0,10.0,50.0,35.0,8176.0,0.009,0.247,-0.247,-0.238,171076.0
15.0,15.0,30.0,5.0,16282.0,0.002,0.247,-0.247,-0.245,171076.0
15.0,15.0,30.0,10.0,12044.0,0.004,0.247,-0.247,-0.243,171076.0
15.0,15.0,30.0,15.0,10338.0,0.004,0.247,-0.247,-0.243,171076.0
15.0,15.0,30.0,20.0,9206.0,0.006,0.247,-0.247,-0.241,171076.0
15.0,15.0,30.0,25.0,8554.0,0.009,0.247,-0.247,-0.238,171076.0
15.0,15.0,30.0,30.0,8052.0,0.017,0.247,-0.247,-0.23,171076.0
15.0,15.0,30.0,35.0,7706.0,0.02,0.247,-0.247,-0.227,171076.0
15.0,15.0,40.0,5.0,15570.0,0.002,0.247,-0.247,-0.245,171076.0
15.0,15.0,40.0,10.0,11316.0,0.005,0.247,-0.247,-0.242,171076.0
15.0,15.0,40.0,15.0,9524.0,0.005,0.247,-0.247,-0.242,171076.0
15.0,15.0,40.0,20.0,8548.0,0.014,0.247,-0.247,-0.233,171076.0
15.0,15.0,40.0,25.0,7868.0,0.013,0.247,-0.247,-0.234,171076.0
15.0,15.0,40.0,30.0,7408.0,0.029,0.247,-0.247,-0.218,171076.0
