freq,SMA_S,SMA_L,Signal_Mw,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
5.0,25.0,50.0,35.0,15202.0,0.327,0.362,-0.362,-0.035,474155.0
15.0,5.0,20.0,5.0,26392.0,0.557,0.354,-0.354,0.203,158053.0
15.0,5.0,20.0,10.0,20364.0,0.138,0.354,-0.354,-0.216,158053.0
15.0,5.0,20.0,15.0,18028.0,0.064,0.354,-0.354,-0.29,158053.0
15.0,5.0,20.0,20.0,16668.0,0.044,0.354,-0.354,-0.31,158053.0
15.0,5.0,20.0,25.0,15830.0,0.039,0.354,-0.354,-0.315,158053.0
15.0,5.0,20.0,30.0,15224.0,0.028,0.354,-0.354,-0.326,158053.0
15.0,5.0,20.0,35.0,14642.0,0.041,0.354,-0.354,-0.313,158053.0
15.0,5.0,30.0,5.0,24974.0,0.191,0.354,-0.354,-0.163,158053.0
15.0,5.0,30.0,10.0,18962.0,0.073,0.354,-0.354,-0.281,158053.0
15.0,5.0,30.0,15.0,16492.0,0.048,0.354,-0.354,-0.306,158053.0
15.0,5.0,30.0,20.0,15084.0,0.036,0.354,-0.354,-0.318,158053.0
15.0,5.0,30.0,25.0,13992.0,0.044,0.354,-0.354,-0.31,158053.0
15.0,5.0,30.0,30.0,13282.0,0.096,0.354,-0.354,-0.258,158053.0
15.0,5.0,30.0,35.0,12818.0,0.085,0.354,-0.354,-0.269,158053.0
15.0,5.0,40.0,5.0,24342.0,0.073,0.354,-0.354,-0.281,158053.0
15.0,5.0,40.0,10.0,18300.0,0.027,0.354,-0.354,-0.327,158053.0
15.0,5.0,40.0,15.0,15722.0,0.038,0.354,-0.354,-0.316,158053.0
15.0,5.0,40.0,20.0,14100.0,0.048,0.354,-0.354,-0.306,158053.0
15.0,5.0,40.0,25.0,13058.0,0.09,0.354,-0.354,-0.264,158053.0
15.0,5.0,40.0,30.0,12392.0,0.122,0.354,-0.354,-0.232,158053.0
15.0,5.0,40.0,35.0,11828.0,0.122,0.354,-0.354,-0.232,158053.0
15.0,5.0,50.0,5.0,23990.0,0.074,0.354,-0.354,-0.28,158053.0
15.0,5.0,50.0,10.0,17886.0,0.041,0.354,-0.354,-0.313,158053.0
15.0,5.0,50.0,15.0,15184.0,0.04,0.354,-0.354,-0.314,158053.0
15.0,5.0,50.0,20.0,13520.0,0.122,0.354,-0.354,-0.232,158053.0
15.0,5.0,50.0,25.0,12490.0,0.165,0.354,-0.354,-0.189,158053.0
15.0,5.0,50.0,30.0,11816.0,0.142,0.354,-0.354,-0.212,158053.0
15.0,5.0,50.0,35.0,11228.0,0.089,0.354,-0.354,-0.265,158053.0
15.0,10.0,20.0,5.0,19188.0,0.184,0.354,-0.354,-0.17,158053.0
15.0,10.0,20.0,10.0,14634.0,0.089,0.354,-0.354,-0.265,158053.0
15.0,10.0,20.0,15.0,12794.0,0.164,0.354,-0.354,-0.19,158053.0
15.0,10.0,20.0,20.0,11604.0,0.192,0.354,-0.354,-0.162,158053.0
